tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd,paired_ci95,paired_diff,paired_n
beta1,20,0.9483855465054513,0.0005884726667962529,0.9218250441551209,0.002336297870570691,-0.029511669278144838,0.002501473000543505,0.02951333589024014,0.002499940354101901,0.0005869337758593364,0.010098002552986129,20
ewc_k128_g08,20,0.9670000448822975,0.0003173932431289056,0.9460405445098876,0.0018262786505244303,-0.02328833374712202,0.0018724841680904222,0.023292222287919783,0.0018747958753376507,0.0013237784247208755,0.03431350290775297,20
ewc_k1_g1,20,0.9397400438785553,0.0011442525089072123,0.9011710444092751,0.0066985599751876075,-0.04285444385475583,0.007594478969420641,0.04296999904844496,0.007549599815758812,0.0031802383752271906,-0.010555997192859662,20
finetune_k128,20,0.980086048543453,0.0001384675050906852,0.5586105292290449,0.00770224044432731,-0.4683061325715648,0.008603329456520202,0.4683061325715648,0.008603329456520202,0.004017713183221361,-0.3531165123730898,20
prox_cos,20,0.9472585424780846,0.00048356583018506765,0.908643042445183,0.0033876921325811126,-0.042906111147668624,0.003798130122400865,0.042906111147668624,0.003798130122400865,0.0009126976762584301,-0.003083999156951911,20
psb,20,0.9418720436096191,0.0005408040981580372,0.9117270416021348,0.0028142402413793666,-0.033494446674982706,0.0030291387339566947,0.033494446674982706,0.0030291387339566947,,,
si_k1,20,0.9124595430493356,0.002035534074434119,0.8780445426702499,0.004741341467172448,-0.038238889310095045,0.005095396053739016,0.03856166568067339,0.0049700140467732095,0.0022709492089054628,-0.03368249893188477,20
si_k128,20,0.9450760439038275,0.0006735014762158353,0.9302755451202392,0.002130612651548228,-0.016444998648431568,0.0019384334392254325,0.016449998815854388,0.0019381686775642778,0.0011681253060225954,0.018548503518104543,20
