tag,n,acquisition_mean,acquisition_sd,average_accuracy_mean,average_accuracy_sd,backward_transfer_mean,backward_transfer_sd,forgetting_mean,forgetting_sd,paired_ci95,paired_diff,paired_n
fig2_beta1,3,0.9555700421333313,0.0007291746151697621,0.9134267111619314,0.0058733423676172085,-0.046825923301555494,0.005805222124346505,0.046825923301555494,0.005805222124346505,0.00868254479364521,0.009029998381932561,3
fig2_prox,3,0.9543233831723531,0.0009085333222730398,0.8957100470860798,0.006622731622044089,-0.06512592898474799,0.006756264948599371,0.06512963330304182,0.006759206738744084,0.015468798984554269,-0.008686665693918849,3
fig2_psb,3,0.9490167160828907,0.0007254245022598641,0.9043967127799988,0.0024147362122065043,-0.049577781447657836,0.001898567789542403,0.049577781447657836,0.001898567789542403,,,
psb_k128,5,0.9422560453414917,0.0006982016702979689,0.9120460414886475,0.0015767489635151626,-0.03356667094760471,0.0013807045789959278,0.03356667094760471,0.0013807045789959278,0.004338293920415074,0.00818999409675599,3
